bug_id,title,severity,description,expected_behavior,actual_behavior,preconditions,bug_type,root_cause_category,root_cause_cluster,affected_module,environment,status,created_at,detected_at,resolved_at,reopened,dev_analysis_notes,qa_analysis_notes,version,team,prd_reference
RUN-1022,Operações excedem deadline,Crítico,Bug,O treino deve aparecer no feed do Strava em até 1 minuto ou exibir modal de 'Tentar Novamente'.,Loading infinito na tela de resumo e o treino fica preso localmente.,Sprint=Sprint 14; Projeto=RunTrack Pro,visual,Timeout no Cluster,Bug,Bug,HMG,Em Análise,Bug,Bug,Bug,yes,Precisamos implementar uma fila assíncrona no cluster com fallback.,Simulei latência de rede e a request dá timeout.,Bug,Bug,Bug
RUN-1024,Sincronização falha silenciosa,Médio,Bug,Componente deve funcionar suavemente sem interromper a visualização do pace.,Pequena quebra de layout ao rotacionar a tela.,Sprint=Sprint 14; Projeto=RunTrack Pro,visual,Rate Limit da API de Terceiros,Bug,Bug,PRD,Reaberto,Bug,Bug,Bug,yes,Ajuste no flexbox.,Reportado via teste exploratório.,Bug,Bug,Bug
RUN-1025,Velocidade média incorreta,Médio,Bug,Componente deve funcionar suavemente sem interromper a visualização do pace.,Pequena quebra de layout ao rotacionar a tela.,Sprint=Sprint 14; Projeto=RunTrack Pro,visual,Perda de Precisão de Float,Bug,Bug,HMG,Em Análise,Bug,Bug,Bug,no,Ajuste no flexbox.,Reportado via teste exploratório.,Bug,Bug,Bug
RUN-1028,Pool atinge limite,Crítico,Bug,Componente deve funcionar suavemente sem interromper a visualização do pace.,Pequena quebra de layout ao rotacionar a tela.,Sprint=Sprint 14; Projeto=RunTrack Pro,visual,Timeout no Cluster,Bug,Bug,PRD,Reaberto,Bug,Bug,Bug,no,Ajuste no flexbox.,Reportado via teste exploratório.,Bug,Bug,Bug
RUN-1032,Queries aguardam lock,Alto,Bug,O treino deve aparecer no feed do Strava em até 1 minuto ou exibir modal de 'Tentar Novamente'.,Loading infinito na tela de resumo e o treino fica preso localmente.,Sprint=Sprint 14; Projeto=RunTrack Pro,visual,Timeout no Cluster,Bug,Bug,PRD,Fechado (Após Reabertura),Bug,Bug,Bug,yes,Precisamos implementar uma fila assíncrona no cluster com fallback.,Simulei latência de rede e a request dá timeout.,Bug,Bug,Bug
RUN-1034,Comparação com epsilon,Médio,Bug,O app deve validar se a média de pace da 2ª metade é estritamente menor que a da 1ª metade.,Arredondamento de segundos no frontend gera falso positivo de negative split.,Sprint=Sprint 14; Projeto=RunTrack Pro,functional,Perda de Precisão de Float,Bug,Bug,PRD,Em Análise,Bug,Bug,Bug,yes,"Erro de tipagem no cálculo de pace médio, corrigido.",Automação validou com mock de 5:00/km em ambas metades e a badge acendeu.,Bug,Bug,Bug
RUN-1036,Latência sob carga,Crítico,Bug,O app deve continuar coletando as coordenadas em background.,O sistema operacional mata o processo de background e o GPS desenha uma reta entre o ponto de bloqueio e desbloqueio.,Sprint=Sprint 14; Projeto=RunTrack Pro,functional,Timeout no Cluster,Bug,Bug,PRD,Fechado (Após Reabertura),Bug,Bug,Bug,yes,Faltou atualizar a capability de 'Background Modes' no build.,"Testado correndo 5km na rua. Relógio marcou certo, app cortou caminho.",Bug,Bug,Bug
RUN-1037,Only-while-in-use incorreto,Crítico,Bug,O app deve continuar coletando as coordenadas em background.,O sistema operacional mata o processo de background e o GPS desenha uma reta entre o ponto de bloqueio e desbloqueio.,Sprint=Sprint 14; Projeto=RunTrack Pro,functional,Permissão de Localização (OS),Bug,Bug,PRD,Reaberto,Bug,Bug,Bug,yes,Faltou atualizar a capability de 'Background Modes' no build.,"Testado correndo 5km na rua. Relógio marcou certo, app cortou caminho.",Bug,Bug,Bug
RUN-1042,Estado vazio não tratado nos testes,Médio,Bug,Componente deve funcionar suavemente sem interromper a visualização do pace.,Pequena quebra de layout ao rotacionar a tela.,Sprint=Sprint 14; Projeto=RunTrack Pro,visual,Falso Positivo na Automação (Cypress/Playwright),Bug,Bug,HMG,Fechado (Após Reabertura),Bug,Bug,Bug,yes,Ajuste no flexbox.,Reportado via teste exploratório.,Bug,Bug,Bug
RUN-1043,Conversão de unidades,Alto,Bug,O app deve validar se a média de pace da 2ª metade é estritamente menor que a da 1ª metade.,Arredondamento de segundos no frontend gera falso positivo de negative split.,Sprint=Sprint 14; Projeto=RunTrack Pro,functional,Perda de Precisão de Float,Bug,Bug,PRD,Fechado (Após Reabertura),Bug,Bug,Bug,yes,"Erro de tipagem no cálculo de pace médio, corrigido.",Automação validou com mock de 5:00/km em ambas metades e a badge acendeu.,Bug,Bug,Bug
RUN-1049,Float32 vs Float64 [RUN-1049],Médio,Bug,Componente deve funcionar suavemente sem interromper a visualização do pace.,Pequena quebra de layout ao rotacionar a tela.,Sprint=Sprint 14; Projeto=RunTrack Pro,visual,Perda de Precisão de Float,Bug,Bug,HMG,Em Análise,Bug,Bug,Bug,no,Ajuste no flexbox.,Reportado via teste exploratório.,Bug,Bug,Bug
RUN-1059,Goroutine leak,Crítico,Bug,O app deve continuar coletando as coordenadas em background.,O sistema operacional mata o processo de background e o GPS desenha uma reta entre o ponto de bloqueio e desbloqueio.,Sprint=Sprint 14; Projeto=RunTrack Pro,functional,Timeout no Cluster,Bug,Bug,PRD,Fechado (Após Reabertura),Bug,Bug,Bug,yes,Faltou atualizar a capability de 'Background Modes' no build.,"Testado correndo 5km na rua. Relógio marcou certo, app cortou caminho.",Bug,Bug,Bug
RUN-1060,DOM renderizado mas Cypress valida cedo,Médio,Bug,A automação deve validar a renderização da lista de corridas.,"O Cypress está validando apenas se o container `<div id='history'>` existe, ignorando se os cards foram renderizados.",Sprint=Sprint 14; Projeto=RunTrack Pro,visual,Falso Positivo na Automação (Cypress/Playwright),Bug,Bug,HMG,Em Análise,Bug,Bug,Bug,yes,Ciente.,Refatorando o script do Playwright para esperar o state networkidle antes de fazer o assert.,Bug,Bug,Bug
RUN-1061,Banker rounding [RUN-1061],Alto,Bug,O app deve validar se a média de pace da 2ª metade é estritamente menor que a da 1ª metade.,Arredondamento de segundos no frontend gera falso positivo de negative split.,Sprint=Sprint 14; Projeto=RunTrack Pro,functional,Perda de Precisão de Float,Bug,Bug,PRD,Reaberto,Bug,Bug,Bug,yes,"Erro de tipagem no cálculo de pace médio, corrigido.",Automação validou com mock de 5:00/km em ambas metades e a badge acendeu.,Bug,Bug,Bug
RUN-1065,Fila não processa após erro,Alto,Bug,O treino deve aparecer no feed do Strava em até 1 minuto ou exibir modal de 'Tentar Novamente'.,Loading infinito na tela de resumo e o treino fica preso localmente.,Sprint=Sprint 14; Projeto=RunTrack Pro,visual,Rate Limit da API de Terceiros,Bug,Bug,HMG,Fechado,Bug,Bug,Bug,no,Precisamos implementar uma fila assíncrona no cluster com fallback.,Simulei latência de rede e a request dá timeout.,Bug,Bug,Bug
